"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[8.1-1-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_2[json0-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","5","tests","test_error_codes","","","","test_post_error_code_2[json1-remainder]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[2147483648-1-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json0-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[1200000.0-1-remainder]",""
"passed","Sun Apr 10 21:44:06 GMT+07:00 2022","Sun Apr 10 21:44:08 GMT+07:00 2022","1820","tests","test_app","","","","test_launching[Калькулятор остановлен]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_5_2[division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_addition_good[-10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1-2147483648-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_multiplication_good[-10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[0--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_remainder_good[-13--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[-10-5]",""
